EPCI	CAPACITE 2022	OUVERTURES 2022	FERMETURES 2021	EVOL NB	EVOL 2022-2021 %
CC des Monts de Lacaune et de la Montagne du Haut Languedoc	250	15	12	3	0.0121457489878543
CA du Pays de l'Or	24	0	0	0	0
CC Sud-Hérault	105	16	0	16	0.179775280898876
Montpellier Méditerranée Métropole	68	23	0	23	0.511111111111111
CC La Domitienne	78	0	0	0	0
CC Lodévois et Larzac	77	7	0	7	0.1
Rennes Métropole	461	38	36	2	0.00435729847494559
CC Roche aux Fées Communauté	66	13	6	7	0.11864406779661
CC Couesnon Marches de Bretagne	192	8	17	-9	-0.0447761194029851
CA Vitré Communauté	98	6	40	-34	-0.257575757575758
CC du Pays de Dol et de la Baie du Mont Saint-Michel	499	16	88	-72	-0.126094570928196
CC Bretagne porte de Loire Communauté	72	14	29	-15	-0.172413793103448
CA Redon Agglomération	172	15	24	-9	-0.0497237569060773
CC Vallons de Haute-Bretagne Communauté	159	17	11	6	0.0392156862745099
CC Bretagne Romantique	160	26	20	6	0.0389610389610389
CA Fougères Agglomération	198	25	35	-10	-0.0480769230769231
CC de Saint-Méen Montauban	120	44	14	30	0.333333333333333
CC Liffré-Cormier Communauté	123	26	0	26	0.268041237113402
CA du Pays de Saint Malo Agglomération	927	65	120	-55	-0.0560081466395111
CC Pays de Châteaugiron Communauté	98	0	6	-6	-0.0576923076923077
CC Val d'Ille-Aubigné	148	0	12	-12	-0.075
CC Montfort Communauté	109	30	17	13	0.135416666666667
CC Brocéliande Communauté	70	16	9	7	0.111111111111111
CC Champagne Boischauts	45	0	7	-7	-0.134615384615385
CC Chabris - Pays de Bazelle	72	11	0	11	0.180327868852459
CA Châteauroux Métropole	296	12	19	-7	-0.023102310231023
CC Éguzon - Argenton - Vallée de la Creuse	388	56	15	41	0.118155619596542
CC du Châtillonnais en Berry	83	16	6	10	0.136986301369863
CC Cœur de Brenne	205	21	0	21	0.114130434782609
CC Marche Occitane - Val d'Anglin	215	43	5	38	0.214689265536723
CC de la Châtre et Sainte-Sévère	314	52	29	23	0.0790378006872852
CC Brenne - Val de Creuse	458	23	26	-3	-0.00650759219088937
CC Val de l'Indre - Brenne	99	0	10	-10	-0.0917431192660551
CC du Val de Bouzanne	141	6	17	-11	-0.0723684210526315
CC de la Marche Berrichonne	111	18	0	18	0.193548387096774
CC Écueillé-Valençay	252	20	25	-5	-0.019455252918288
CC de la Région de Levroux	21	0	0	0	0
CC Loches Sud Touraine	662	50	70	-20	-0.0293255131964809
CC Touraine Ouest Val de Loire	375	29	56	-27	-0.0671641791044776
CC du Val d'Amboise	252	34	31	3	0.0120481927710843
CC Chinon. Vienne et Loire	338	23	77	-54	-0.137755102040816
CC Touraine Val de Vienne	263	33	18	15	0.060483870967742
CC Touraine Vallée de l'Indre	292	2	13	-11	-0.0363036303630363
CC de Bléré Val de Cher	176	16	10	6	0.0352941176470589
CC du Castelrenaudais	116	15	5	10	0.0943396226415094
CC Touraine-Est Vallées	221	4	30	-26	-0.105263157894737
Tours Métropole Val de Loire	212	13	54	-41	-0.162055335968379
CC de Gâtine et Choisilles - Pays de Racan	141	0	0	0	0
CC Le Grésivaudan	329	18	32	-14	-0.0408163265306123
CC de l'Oisans	462	16	114	-98	-0.175
CC Les Balcons du Dauphiné	228	6	182	-176	-0.435643564356436
CC Saint-Marcellin Vercors Isère Communauté	461	10	56	-46	-0.0907297830374754
CC de Bièvre Est	11	0	0	0	0
CC Entre Bièvre et Rhône	118	0	0	0	0
CC Bièvre Isère	119	0	8	-8	-0.062992125984252
CC Les Vals du Dauphiné	143	2	15	-13	-0.0833333333333334
CA Porte de l'Isère (C.A.P.I)	27	0	0	0	0
Grenoble-Alpes-Métropole	147	13	4	9	0.0652173913043479
CC de la Matheysine	303	17	14	3	0.01
CA du Pays Voironnais	107	0	4	-4	-0.036036036036036
CC Lyon Saint Exupéry en Dauphiné	20	0	0	0	0
CC du Trièves	263	4	36	-32	-0.108474576271186
CC du Massif du Vercors	942	30	70	-40	-0.0407331975560081
CA Vienne Condrieu	133	2	22	-20	-0.130718954248366
CC Cœur de Chartreuse	541	10	19	-9	-0.0163636363636364
CC des Collines du Nord Dauphiné	0	0	31	-31	-1
CC Arbois. Poligny. Salins. Cœur du Jura	431	38	41	-3	-0.00691244239631339
CC Terre d'Émeraude Communauté	889	29	62	-33	-0.0357917570498916
CC Champagnole Nozeroy Jura	1005	62	105	-43	-0.041030534351145
CC Bresse Haute Seille	317	16	64	-48	-0.131506849315069
CA du Grand Dole	90	14	2	12	0.153846153846154
CC Porte du Jura	93	11	14	-3	-0.03125
CA ECLA  (Espace Communautaire Lons Agglomération)	100	14	7	7	0.075268817204301
CC Haut-Jura Saint-Claude	314	17	34	-17	-0.0513595166163142
CC Haut-Jura Arcade Communauté	198	0	37	-37	-0.157446808510638
CC de la Station des Rousses-Haut Jura	570	0	29	-29	-0.0484140233722872
CC du Val d'Amour	94	4	18	-14	-0.12962962962963
CC La Grandvallière	338	4	6	-2	-0.00588235294117645
CC de la Plaine Jurassienne	34	12	4	8	0.307692307692308
CC Jura Nord	28	0	0	0	0
CC Coteaux et Vallées des Luys	16	0	6	-6	-0.272727272727273
CA du Grand Dax	191	9	30	-21	-0.0990566037735849
CC Maremne Adour Côte Sud	525	44	217	-173	-0.247851002865329
CC du Pays Morcenais	52	16	33	-17	-0.246376811594203
CC Chalosse Tursan	188	6	48	-42	-0.182608695652174
CC du Pays Tarusate	38	7	81	-74	-0.660714285714286
CC de Mimizan	99	10	20	-10	-0.0917431192660551
CC du Pays Grenadois	31	0	0	0	0
CC Cœur Haute Lande	138	0	179	-179	-0.564668769716088
CC Pays d'Orthe et Arrigans	220	18	22	-4	-0.0178571428571429
CA Mont-de-Marsan Agglomération	60	5	15	-10	-0.142857142857143
CC des Landes d'Armagnac	56	0	18	-18	-0.243243243243243
CC du Seignanx	77	10	0	10	0.149253731343284
CC des Grands Lacs	151	16	76	-60	-0.28436018957346
CC Terres de Chalosse	170	0	24	-24	-0.123711340206186
CC Côte Landes Nature	235	11	74	-63	-0.211409395973154
CC du Pays de Villeneuve en Armagnac Landais	70	0	0	0	0
CC Val-de-Cher-Controis	625	69	60	9	0.0146103896103895
CA Territoires Vendômois	120	14	31	-17	-0.124087591240876
CC Beauce Val de Loire	169	25	39	-14	-0.0765027322404371
CA de Blois Agglopolys	484	78	52	26	0.0567685589519651
CC du Grand Chambord	204	29	15	14	0.0736842105263158
CC Cœur de Sologne	38	0	0	0	0
CC des Collines du Perche	18	0	16	-16	-0.470588235294118
CC de la Sologne des Étangs	137	0	0	0	0
CC de la Sologne des Rivières	21	3	6	-3	-0.125
CC du Perche et Haut Vendômois	4	0	0	0	0
CC du Romorantinais et du Monestois	91	6	2	4	0.0459770114942528
CA Roannais Agglomération	287	0	18	-18	-0.059016393442623
Saint-Etienne Métropole	94	0	7	-7	-0.0693069306930693
CA Loire Forez Agglomération	614	16	35	-19	-0.0300157977883097
CC de Forez-Est	244	14	10	4	0.0166666666666666
CC Charlieu-Belmont	55	0	6	-6	-0.0983606557377049
CC des Monts du Pilat	114	21	19	2	0.0178571428571428
CC des Vals d'Aix et Isable	139	0	26	-26	-0.157575757575758
CC du Pays d'Urfé	153	22	4	18	0.133333333333333
CC des Monts du Lyonnais	172	4	57	-53	-0.235555555555556
CC du Pays entre Loire et Rhône	103	0	0	0	0
CC du Pilat Rhodanien	35	10	0	10	0.4
CC Brioude Sud Auvergne	124	29	42	-13	-0.0948905109489051
CA du Puy-en-Velay	602	16	92	-76	-0.112094395280236
CC des Pays de Cayres et de Pradelles	260	35	16	19	0.0788381742738589
CC des Rives du Haut-Allier	306	6	44	-38	-0.11046511627907
CC des Sucs	201	18	30	-12	-0.0563380281690141
CC Loire et Semène	26	0	10	-10	-0.277777777777778
CC Auzon Communauté	66	0	0	0	0
CC Marches du Velay-Rochebaron	82	0	68	-68	-0.453333333333333
CC du Haut-Lignon	128	0	2	-2	-0.0153846153846153
CC Mézenc-Loire-Meygal	497	32	24	8	0.0163599182004091
CC du Pays de Montfaucon	69	0	10	-10	-0.126582278481013
CC de Nozay	26	2	8	-6	-0.1875
CA Clisson Sèvre et Maine Agglo	153	0	4	-4	-0.0254777070063694
CC du Pays d'Ancenis	142	25	0	25	0.213675213675214
CA Pornic Agglo Pays de Retz	398	22	77	-55	-0.121412803532009
CA de la Presqu'île de Guérande Atlantique (Cap Atlantique)	467	35	95	-60	-0.113851992409867
Nantes Métropole	119	7	31	-24	-0.167832167832168
CC Grand Lieu Communauté	46	7	12	-5	-0.0980392156862745
CC de la Région de Blain	60	10	25	-15	-0.2
CC Estuaire et Sillon	14	0	12	-12	-0.461538461538462
CC d'Erdre et Gesvres	93	0	15	-15	-0.138888888888889
CA de la Région Nazairienne et de l'Estuaire (CARENE)	80	14	13	1	0.0126582278481013
CC du Pays de Pontchâteau Saint-Gildas-des-Bois	78	7	0	7	0.0985915492957747
CC Châteaubriant-Derval	146	0	15	-15	-0.093167701863354
CC du Sud Estuaire	81	4	9	-5	-0.0581395348837209
CC Sèvre et Loire	43	7	0	7	0.194444444444444
CC Sud Retz Atlantique	67	0	6	-6	-0.0821917808219178
CA Montargoise et Rives du Loing (A.M.E.)	44	26	0	26	1.44444444444444
CC des Portes de Sologne	155	2	145	-143	-0.479865771812081
CC de la Beauce Loirétaine	55	10	8	2	0.0377358490566038
CC de la Forêt	50	0	0	0	0
CC de la Plaine du Nord Loiret	61	15	7	8	0.150943396226415
CC du Pithiverais-Gâtinais	153	2	9	-7	-0.04375
CC Berry Loire Puisaye	118	49	0	49	0.710144927536232
CC des Terres du Val de Loire	131	10	5	5	0.0396825396825398
CC Canaux et Forêts en Gâtinais	110	0	8	-8	-0.0677966101694916
Orléans Métropole	129	27	14	13	0.112068965517241
CC du Val de Sully	206	40	46	-6	-0.0283018867924528
CC des Loges	201	0	27	-27	-0.118421052631579
CC Giennoises	140	6	10	-4	-0.0277777777777778
CC des Quatre Vallées	62	0	0	0	0
CC du Pithiverais	4	4	0	4	-
CC de la Cléry. du Betz et de l'Ouanne	68	3	0	3	0.0461538461538462
CC de la Vallée du Lot et du Vignoble	155	20	45	-25	-0.138888888888889
CC Causses et Vallée de la Dordogne	898	49	175	-126	-0.123046875
CC du Pays de Lalbenque-Limogne	150	4	43	-39	-0.206349206349206
CC du Quercy Blanc	185	13	45	-32	-0.147465437788018
CA du Grand Cahors	295	41	53	-12	-0.0390879478827362
CC du Causse de Labastide-Murat	153	0	27	-27	-0.15
CC Cazals-Salviac	79	8	15	-7	-0.0813953488372093
CC Quercy - Bouriane	123	2	36	-34	-0.21656050955414
CA Agglomération d'Agen	322	30	6	24	0.080536912751678
CC du Confluent et des Coteaux de Prayssas	195	23	30	-7	-0.0346534653465347
CC Albret Communauté	250	8	56	-48	-0.161073825503356
CC du Pays de Duras	87	16	0	16	0.225352112676056
CA Val de Garonne Agglomération	280	23	5	18	0.0687022900763359
CA du Grand Villeneuvois	389	14	23	-9	-0.0226130653266332
CC des Bastides en Haut-Agenais Périgord	408	43	266	-223	-0.353407290015848
CC des Coteaux et Landes de Gascogne	49	8	0	8	0.195121951219512
CC Fumel Vallée du Lot	179	6	52	-46	-0.204444444444444
CC des Deux Rives	161	0	17	-17	-0.0955056179775281
CC Lot et Tolzac	102	0	20	-20	-0.163934426229508
CC du Pays de Lauzun	82	2	30	-28	-0.254545454545455
CC des Hautes Terres de l'Aubrac	242	32	6	26	0.12037037037037
CC Mont Lozère	178	0	6	-6	-0.0326086956521739
CC du Gévaudan	78	8	11	-3	-0.0370370370370371
CC Randon - Margeride	160	7	5	2	0.0126582278481013
CC du Haut Allier	77	14	9	5	0.0694444444444444
CC Cœur de Lozère	48	0	0	0	0
CC Aubrac Lot Causses Tarn	231	10	48	-38	-0.141263940520446
CC Gorges Causses Cévennes	353	48	45	3	0.00857142857142867
CC des Cévennes au Mont Lozère	145	21	21	0	0
CC des Terres d'Apcher-Margeride-Aubrac	204	20	6	14	0.0736842105263158
CA Saumur Val de Loire	335	30	58	-28	-0.0771349862258953
CU Angers Loire Métropole	203	20	20	0	0
CC Anjou Bleu Communauté	42	12	0	12	0.4
CC Loire Layon Aubance	349	31	13	18	0.054380664652568
CC Anjou Loir et Sarthe	51	8	13	-5	-0.0892857142857143
CC Baugeois Vallée	100	6	19	-13	-0.115044247787611
CA Mauges Communauté	223	33	85	-52	-0.189090909090909
CA Agglomération du Choletais	59	12	18	-6	-0.0923076923076923
CC des Vallées du Haut-Anjou	70	4	4	0	0
CC Coutances Mer et Bocage	529	40	45	-5	-0.00936329588014984
CC de la Baie du Cotentin	197	0	105	-105	-0.347682119205298
CA du Cotentin	1286	79	222	-143	-0.100069979006298
CA Mont-Saint-Michel-Normandie	724	28	312	-284	-0.281746031746032
CA Saint-Lô Agglo	119	0	67	-67	-0.360215053763441
CC de Granville. Terre et Mer	281	0	85	-85	-0.23224043715847
CC de Villedieu Intercom	87	0	51	-51	-0.369565217391304
CC Côte Ouest Centre Manche	218	11	0	11	0.0531400966183575
CC de Sézanne-Sud Ouest Marnais	128	28	8	20	0.185185185185185
CU du Grand Reims	229	16	22	-6	-0.0255319148936171
CA Épernay. Coteaux et Plaine de Champagne	145	13	56	-43	-0.228723404255319
CC de la Grande Vallée de la Marne	98	9	5	4	0.0425531914893618
CA de Châlons-en-Champagne	99	17	0	17	0.207317073170732
CC des Paysages de la Champagne	335	23	13	10	0.0307692307692307
CC Perthois-Bocage et Der	131	29	35	-6	-0.0437956204379562
CC Côtes de Champagne et Val de Saulx	42	6	0	6	0.166666666666667
CC de la Région de Suippes	15	0	15	-15	-0.5
CC de l'Argonne Champenoise	38	0	12	-12	-0.24
CC de Vitry. Champagne et Der	55	8	0	8	0.170212765957447
CC de la Moivre à la Coole	61	0	0	0	0
CA de Saint-Dizier Der et Blaise	170	12	42	-30	-0.15
CC de la Brie Champenoise	34	4	0	4	0.133333333333333
CC du Sud Marnais	16	10	0	10	1.66666666666667
CC Meuse Rognon	98	0	14	-14	-0.125
CC d'Auberive Vingeanne et Montsaugeonnais	76	0	11	-11	-0.126436781609195
CC des Savoir-Faire	53	0	35	-35	-0.397727272727273
CC des Trois Forêts	64	0	20	-20	-0.238095238095238
CA de Chaumont	49	0	0	0	0
CC du Bassin de Joinville en Champagne	76	0	7	-7	-0.0843373493975904
CC du Grand Langres	92	13	7	6	0.069767441860465
CA Laval Agglomération	155	0	62	-62	-0.285714285714286
CC Mayenne Communauté	90	0	17	-17	-0.158878504672897
CC du Bocage Mayennais	147	3	3	0	0
CC de l'Ernée	118	0	43	-43	-0.267080745341615
CC du Pays de Meslay-Grez	162	6	27	-21	-0.114754098360656
CC du Pays de Craon	163	0	12	-12	-0.0685714285714286
CC du Mont des Avaloirs	117	8	9	-1	-0.00847457627118642
CC des Coëvrons	334	22	17	5	0.0151975683890577
CC du Pays de Château-Gontier	124	11	0	11	0.0973451327433628
CC de Seille et Grand Couronné	75	6	0	6	0.0869565217391304
CC du Pays de Colombey et du Sud Toulois	32	0	6	-6	-0.157894736842105
CC de Vezouze en Piémont	149	0	4	-4	-0.0261437908496732
CC du Pays du Sanon	60	6	14	-8	-0.117647058823529
CC Terres Touloises	81	2	12	-10	-0.10989010989011
CC du Territoire de Lunéville à Baccarat	61	6	0	6	0.109090909090909
CC Orne Lorraine Confluences	87	0	0	0	0
CC Terre Lorraine du Longuyonnais	46	0	2	-2	-0.0416666666666666
CC Mad et Moselle	98	6	0	6	0.0652173913043479
CA de Saint-Dié-des-Vosges	543	91	73	18	0.0342857142857143
CC Meurthe Mortagne Moselle	55	0	0	0	0
CC Coeur du Pays Haut	12	0	0	0	0
CC du Bassin de Pont-à-Mousson	90	0	0	0	0
CC du Pays du Saintois	76	0	0	0	0
CC des Pays du Sel et du Vermois	31	12	6	6	0.24
CC Moselle et Madon	18	2	0	2	0.125
CA Grand Longwy Agglomération	20	10	6	4	0.25
Métropole du Grand Nancy	61	6	0	6	0.109090909090909
CC du Bassin de Pompey	27	0	0	0	0
CC Val de Meuse - Voie Sacrée	18	3	0	3	0.2
CC des Portes de Meuse	68	6	7	-1	-0.0144927536231884
CA de Bar-le-Duc - Sud Meuse	26	8	0	8	0.444444444444444
CC du Pays de Montmédy	11	0	4	-4	-0.266666666666667
CC de l'Aire à l'Argonne	22	0	6	-6	-0.214285714285714
CA du Grand Verdun	25	15	8	7	0.388888888888889
CC de Damvillers Spincourt	22	0	0	0	0
CC Côtes de Meuse Woëvre	100	8	6	2	0.0204081632653061
CC Argonne-Meuse	17	0	0	0	0
CC du Pays de Revigny-sur-Ornain	12	0	6	-6	-0.333333333333333
CC du Pays d'Étain	11	3	0	3	0.375
CC du Pays de Stenay et du Val Dunois	66	14	0	14	0.269230769230769
CC de Commercy - Void - Vaucouleurs	73	0	6	-6	-0.0759493670886076
CC du Sammiellois	6	0	10	-10	-0.625
CC du Territoire de Fresnes-en-Woëvre	24	0	7	-7	-0.225806451612903
CC Arc Sud Bretagne	384	53	73	-20	-0.0495049504950495
CA Golfe du Morbihan - Vannes Agglomération	996	182	246	-64	-0.060377358490566
CC de l'Oust à Brocéliande	154	5	32	-27	-0.149171270718232
CC Auray Quiberon Terre Atlantique	1934	262	263	-1	-0.000516795865633024
CC de Belle-Île-en-Mer	127	35	15	20	0.186915887850467
CC Baud Communauté	141	4	46	-42	-0.229508196721312
CC Roi Morvan Communauté	237	15	64	-49	-0.171328671328671
CC Questembert Communauté	221	25	44	-19	-0.0791666666666667
CC Centre Morbihan Communauté	70	22	45	-23	-0.247311827956989
CA Lorient Agglomération	847	95	76	19	0.0229468599033817
CC Ploërmel Communauté	192	25	6	19	0.109826589595376
CC Pontivy Communauté	158	46	13	33	0.264
CC de Blavet Bellevue Océan	382	30	28	2	0.00526315789473686
CC Sarrebourg Moselle Sud	207	24	59	-35	-0.144628099173554
CC Bouzonvillois-Trois Frontières	91	0	14	-14	-0.133333333333333
Metz Métropole	78	6	0	6	0.0833333333333333
CC du Sud Messin	30	0	4	-4	-0.117647058823529
CC Haut Chemin-Pays de Pange	42	0	13	-13	-0.236363636363636
CA Saint-Avold Synergie	15	0	6	-6	-0.285714285714286
CC du Pays de Phalsbourg	113	6	0	6	0.0560747663551402
CC Houve-Pays Boulageois	23	0	6	-6	-0.206896551724138
CC de Cattenom et Environs	40	0	0	0	0
CC du Pays de Bitche	72	0	9	-9	-0.111111111111111
CC du Saulnois	122	0	5	-5	-0.0393700787401575
CC de Freyming-Merlebach	23	0	0	0	0
CC Rives de Moselle	17	0	2	-2	-0.105263157894737
CA de Forbach Porte de France	29	0	0	0	0
CA Sarreguemines Confluences	59	9	4	5	0.0925925925925926
CC de l'Arc Mosellan	28	0	0	0	0
CC du District Urbain de Faulquemont (DUF)	12	0	8	-8	-0.4
CC du Pays Orne Moselle	8	4	0	4	1
CC du Warndt	8	0	0	0	0
CC Bazois Loire Morvan	183	18	36	-18	-0.0895522388059702
CC Morvan Sommets et Grands Lacs	407	39	18	21	0.0544041450777202
CC Tannay-Brinon-Corbigny	131	14	0	14	0.11965811965812
CC de Puisaye-Forterre	389	7	28	-21	-0.051219512195122
CC Sud Nivernais	105	15	12	3	0.0294117647058822
CC Amognes Cœur du Nivernais	40	9	30	-21	-0.344262295081967
CA de Nevers	59	17	11	6	0.113207547169811
CC Haut Nivernais-Val d'Yonne	81	0	5	-5	-0.0581395348837209
CC Cœur de Loire	88	7	14	-7	-0.0736842105263158
CC du Nivernais Bourbonnais	8	0	0	0	0
CC Loire et Allier	56	6	8	-2	-0.0344827586206896
CA de Cambrai	200	14	7	7	0.0362694300518134
CA de la Porte du Hainaut	164	35	18	17	0.115646258503401
CC Pévèle-Carembault	170	10	7	3	0.0179640718562875
CC Cœur d'Ostrevent	90	0	3	-3	-0.032258064516129
CC du Sud Avesnois	103	11	0	11	0.119565217391304
CU de Dunkerque	67	18	66	-48	-0.417391304347826
CA Douaisis Agglo	216	16	38	-22	-0.092436974789916
CC du Pays de Mormal	187	28	56	-28	-0.130232558139535
CC Cœur de l'Avesnois	210	12	10	2	0.00961538461538458
CC de Flandre Intérieure	552	38	26	12	0.0222222222222221
CA du Caudrésis et du Catésis	39	6	10	-4	-0.0930232558139535
Métropole Européenne de Lille	428	18	26	-8	-0.018348623853211
CC du Pays Solesmois	39	0	0	0	0
CC des Hauts de Flandre	227	18	25	-7	-0.0299145299145299
CA Maubeuge Val de Sambre	44	6	4	2	0.0476190476190477
CA Valenciennes Métropole	79	0	0	0	0
CC Flandre Lys	77	0	2	-2	-0.0253164556962026
CC Thelloise	79	10	4	6	0.0821917808219179
CC du Pays de Valois	206	59	16	43	0.263803680981595
CC du Plateau Picard	64	6	7	-1	-0.0153846153846153
CC du Pays des Sources	102	14	11	3	0.0303030303030303
CC des Sablons	28	0	6	-6	-0.176470588235294
CA de la Région de Compiègne et de la Basse Automne	114	5	7	-2	-0.0172413793103449
CC des Lisières de l'Oise	82	25	0	25	0.43859649122807
CA du Beauvaisis	186	19	8	11	0.0628571428571429
CC de la Plaine d'Estrées	39	0	4	-4	-0.0930232558139535
CC du Liancourtois	0	0	6	-6	-1
CC Senlis Sud Oise	61	9	0	9	0.173076923076923
CC de la Picardie Verte	146	6	100	-94	-0.391666666666667
CC du Vexin-Thelle	83	0	0	0	0
CC de l'Oise Picarde	78	0	0	0	0
CC du Pays Noyonnais	116	2	26	-24	-0.171428571428571
CC de l'Aire Cantilienne	13	0	8	-8	-0.380952380952381
CC du Pays de Bray	81	6	5	1	0.0125
CC du Clermontois	8	0	0	0	0
CC des Pays d'Oise et d'Halatte	4	0	0	0	0
CC des Deux Vallées	84	0	8	-8	-0.0869565217391305
CA Creil Sud Oise	4	0	0	0	0
CU d'Alençon	123	7	43	-36	-0.226415094339623
CC des Sources de l'Orne	158	6	0	6	0.0394736842105263
CC Argentan Intercom	251	4	33	-29	-0.103571428571429
CA Flers Agglo	323	24	8	16	0.0521172638436482
CC des Pays de L'Aigle	104	9	35	-26	-0.2
CC de la Vallée de la Haute Sarthe	181	33	13	20	0.124223602484472
CC des Vallées d'Auge et du Merlerault	100	5	24	-19	-0.159663865546218
CC du Val d'Orne	124	0	0	0	0
CC du Pays de Mortagne-au-Perche	302	6	103	-97	-0.243107769423559
CC des Collines du Perche Normand	175	0	27	-27	-0.133663366336634
CC Cœur du Perche	163	20	6	14	0.0939597315436242
CC des Hauts du Perche	343	5	21	-16	-0.0445682451253482
CC Andaine - Passais	332	16	33	-17	-0.0487106017191977
CC du Pays Fertois et du Bocage Carrougien	50	0	4	-4	-0.0740740740740741
CC Domfront Tinchebray Interco	161	2	14	-12	-0.0693641618497109
CC Maine Saosnois	202	0	10	-10	-0.0471698113207547
CA de Lens - Liévin	104	0	0	0	0
CC du Pays de Lumbres	78	0	6	-6	-0.0714285714285714
CC des Campagnes de l'Artois	53	10	12	-2	-0.0363636363636364
CU d'Arras	56	0	20	-20	-0.263157894736842
CA du Pays de Saint-Omer	181	19	11	8	0.046242774566474
CA des Deux Baies en Montreuillois	313	0	8	-8	-0.0249221183800623
CC des 7 Vallées	103	2	9	-7	-0.0636363636363636
CC de la Terre des Deux Caps	335	0	8	-8	-0.0233236151603499
CA de Béthune-Bruay. Artois-Lys Romane	194	2	27	-25	-0.114155251141553
CC Pays d'Opale	71	6	39	-33	-0.317307692307692
CC Osartis Marquion	73	22	8	14	0.23728813559322
CA Grand Calais Terres et Mers	111	8	35	-27	-0.195652173913043
CC de la Région d'Audruicq	96	6	0	6	0.0666666666666667
CC du Ternois	26	0	0	0	0
CA du Boulonnais	175	17	35	-18	-0.0932642487046632
CC du Sud-Artois	77	6	6	0	0
CC du Haut Pays du Montreuillois	155	0	9	-9	-0.0548780487804879
CC de Desvres-Samer	172	9	0	9	0.0552147239263803
CA d'Hénin-Carvin	8	4	0	4	1
CC Ambert Livradois Forez	307	54	83	-29	-0.0863095238095238
CA Agglo Pays d'Issoire	364	38	32	6	0.0167597765363128
CC du Pays de Saint-Éloy	130	0	8	-8	-0.0579710144927537
CC Plaine Limagne	40	0	0	0	0
Clermont Auvergne Métropole	198	14	4	10	0.053191489361702
CC Thiers Dore et Montagne	142	5	18	-13	-0.0838709677419355
CC Dômes Sancy Artense	786	38	48	-10	-0.0125628140703518
CC Mond'Arverne Communauté	113	20	19	1	0.0089285714285714
CC Billom Communauté	58	4	88	-84	-0.591549295774648
CC Combrailles Sioule et Morge	46	0	32	-32	-0.41025641025641
CC Entre Dore et Allier	16	0	11	-11	-0.407407407407407
CC Chavanon Combrailles et Volcans	234	6	47	-41	-0.149090909090909
CA Riom Limagne et Volcans	114	14	6	8	0.0754716981132075
CC du Haut-Béarn	405	8	98	-90	-0.181818181818182
CA du Pays Basque	2229	134	402	-268	-0.107328794553464
CC du Nord Est Béarn	109	9	14	-5	-0.043859649122807
CA Pau Béarn Pyrénées	106	14	56	-42	-0.283783783783784
CC de Lacq-Orthez	162	17	16	1	0.0062111801242235
CC Pays de Nay	143	2	23	-21	-0.128048780487805
CC de la Vallée d'Ossau	225	30	35	-5	-0.0217391304347826
CC des Luys en Béarn	113	12	6	6	0.0560747663551402
CC du Béarn des Gaves	128	10	8	2	0.0158730158730158
CC Adour Madiran	95	0	29	-29	-0.233870967741935
CC Pyrénées Vallées des Gaves	1202	103	189	-86	-0.0667701863354038
CA Tarbes-Lourdes-Pyrénées	475	28	95	-67	-0.123616236162362
CC Aure Louron	636	70	35	35	0.0582362728785357
CC du Pays de Trie et du Magnoac	97	10	12	-2	-0.0202020202020202
CC du Plateau de Lannemezan	97	0	5	-5	-0.0490196078431373
CC de la Haute-Bigorre	323	20	11	9	0.0286624203821657
CC Neste Barousse	106	0	5	-5	-0.045045045045045
CC des Coteaux du Val d'Arros	37	2	0	2	0.0571428571428572
CC Sud-Roussillon	103	9	4	5	0.0510204081632653
CC du Haut Vallespir	204	10	24	-14	-0.0642201834862385
CC Pyrénées catalanes	309	27	99	-72	-0.188976377952756
CC Pyrénées Cerdagne	141	0	0	0	0
CC Agly Fenouillèdes	117	0	18	-18	-0.133333333333333
CC des Albères. de la Côte Vermeille et de l'Illibéris	462	49	27	22	0.05
CU Perpignan Méditerranée Métropole	315	33	13	20	0.0677966101694916
CC des Aspres	205	8	24	-16	-0.0723981900452488
CC Roussillon-Conflent	80	0	8	-8	-0.0909090909090909
CC du Vallespir	104	4	19	-15	-0.126050420168067
CC Conflent-Canigó	280	0	40	-40	-0.125
Eurométropole de Strasbourg	169	2	29	-27	-0.137755102040816
CC de la Vallée de Villé	196	0	25	-25	-0.113122171945701
CC de la Région de Molsheim-Mutzig	36	0	0	0	0
CC du Pays de Barr	280	6	14	-8	-0.0277777777777778
CC du Ried de Marckolsheim	113	4	2	2	0.0180180180180181
CC de l'Outre-Forêt	47	0	0	0	0
CC de la Mossig et du Vignoble	162	3	10	-7	-0.0414201183431953
CC de Sélestat	231	0	18	-18	-0.072289156626506
CC de la Vallée de la Bruche	90	5	90	-85	-0.485714285714286
CC du Canton d'Erstein	187	4	14	-10	-0.050761421319797
CC du Pays de Sainte-Odile	47	0	0	0	0
CA de Haguenau	83	15	0	15	0.220588235294118
CC du Kochersberg	70	2	10	-8	-0.102564102564103
CC de l'Alsace Bossue	27	0	0	0	0
CC Sauer-Pechelbronn	148	0	14	-14	-0.0864197530864198
CC des Portes de Rosheim	96	6	21	-15	-0.135135135135135
CC de Hanau-La Petite Pierre	155	13	29	-16	-0.0935672514619883
CC du Pays de Wissembourg	63	0	6	-6	-0.0869565217391305
CC de la Plaine du Rhin	54	0	4	-4	-0.0689655172413793
CC du Pays de Saverne	79	0	8	-8	-0.0919540229885057
CC du Pays de la Zorn	59	0	10	-10	-0.144927536231884
CC du Pays de Niederbronn-les-Bains	71	0	0	0	0
