EPCI	CAPACITE 2022	OUVERTURES 2022	FERMETURES 2021	EVOL NB	EVOL 2022-2021 %
CC des Portes d'Ariège Pyrénées	116	14	6	8	0.0740740740740742
CC Arize Lèze	67	6	35	-29	-0.302083333333333
CC du Pays de Mirepoix	92	10	0	10	0.121951219512195
CC du Pays d'Othe	51	0	17	-17	-0.25
CC d'Arcis. Mailly. Ramerupt	70	0	6	-6	-0.0789473684210527
CC des Lacs de Champagne	69	0	10	-10	-0.126582278481013
CC de la Région de Bar-sur-Aube	134	10	15	-5	-0.0359712230215827
CA Troyes Champagne Métropole	200	24	11	13	0.0695187165775402
CC de l'Orvin et de l'Ardusson	32	6	0	6	0.230769230769231
CC du Barséquanais en Champagne	273	12	27	-15	-0.0520833333333334
CC du Chaourçois et du Val d'Armance	122	6	4	2	0.0166666666666666
CC de Vendeuvre-Soulaines	87	0	0	0	0
CC Seine et Aube	272	5	4	1	0.00369003690036895
CC Forêts. Lacs. Terres en Champagne	145	22	0	22	0.178861788617886
CC du Nogentais	89	9	0	9	0.1125
CC des Portes de Romilly-sur-Seine	14	5	4	1	0.0769230769230769
CC Région Lézignanaise. Corbières et Minervois	554	56	48	8	0.0146520146520146
CA Carcassonne Agglo	868	156	100	56	0.0689655172413792
CC du Limouxin	294	70	75	-5	-0.0167224080267558
CA Le Grand Narbonne	683	87	129	-42	-0.0579310344827586
CC Pyrénées Audoises	233	51	13	38	0.194871794871795
CC Piège Lauragais Malepère	185	27	0	27	0.170886075949367
CC Lauragais Revel Sorezois	139	0	72	-72	-0.341232227488152
CC Castelnaudary Lauragais Audois	191	28	43	-15	-0.0728155339805825
CC Corbières Salanque Méditerranée	229	14	16	-2	-0.0086580086580087
CC de la Montagne Noire	104	18	31	-13	-0.111111111111111
CC de Millau Grands Causses	313	6	16	-10	-0.0309597523219814
CC Decazeville Communauté	58	8	10	-2	-0.0333333333333333
CC Ouest Aveyron Communauté	179	29	14	15	0.0914634146341464
CC du Pays Rignacois	76	0	15	-15	-0.164835164835165
CC de Lévézou Pareloup	120	15	119	-104	-0.464285714285714
CC Aveyron Bas Ségala Viaur	66	0	9	-9	-0.12
CC des Causses à l'Aubrac	203	19	22	-3	-0.0145631067961165
CC Pays Ségali Communauté	136	20	7	13	0.105691056910569
CC Comtal Lot et Truyère	350	32	0	32	0.10062893081761
CC du Plateau de Montbazens	53	0	6	-6	-0.101694915254237
CC Aubrac. Carladez et Viadène	261	30	0	30	0.12987012987013
CC de la Muse et des Raspes du Tarn	110	4	163	-159	-0.591078066914498
CC Monts. Rance et Rougier	49	0	0	0	0
CC Conques-Marcillac	208	8	12	-4	-0.0188679245283019
CC du Réquistanais	64	10	0	10	0.185185185185185
CC Larzac et Vallées	63	0	117	-117	-0.65
CA Rodez Agglomération	78	0	0	0	0
CC du Pays de Salars	23	0	0	0	0
CC Saint Affricain. Roquefort. Sept Vallons	30	15	0	15	1
CC Grand-Figeac	748	57	135	-78	-0.0944309927360775
Métropole d'Aix-Marseille-Provence	878	79	108	-29	-0.0319735391400221
CA d'Arles-Crau-Camargue-Montagnette	262	32	45	-13	-0.0472727272727272
